S. No,Category,State/UT,2016,2017,2018,Percentage Share of State/UT (2018),Mid-Year Projected Population (in Lakhs) (2018)+,Rate of Total Cyber Crimes (2018)++,Latitude,Longitude
1,State,Andhra Pradesh,616,931,1207,4.4,520.3,2.3,15.9129,79.74
2,State,Arunachal Pradesh,4,1,7,0.0,14.9,0.5,28.218,94.7278
3,State,Assam,696,1120,2022,7.4,340.4,5.9,26.2006,92.9376
4,State,Bihar,309,433,374,1.4,1183.3,0.3,25.0961,85.3131
5,State,Chhattisgarh,90,171,139,0.5,284.7,0.5,21.2787,81.8661
6,State,Goa,31,13,29,0.1,15.3,1.9,15.2993,74.124
7,State,Gujarat,362,458,702,2.6,673.2,1.0,22.2587,71.1924
8,State,Haryana,401,504,418,1.5,284.0,1.5,29.0588,76.0856
9,State,Himachal Pradesh,31,56,69,0.3,72.7,0.9,31.1048,77.1734
10,State,Jammu & Kashmir,28,63,73,0.3,134.3,0.5,,
11,State,Jharkhand,259,720,930,3.4,370.5,2.5,23.6102,85.2799
12,State,Karnataka,1101,3174,5839,21.4,654.5,8.9,15.3173,75.7139
13,State,Kerala,283,320,340,1.2,350.0,1.0,10.8505,76.2711
14,State,Madhya Pradesh,258,490,740,2.7,814.7,0.9,22.9734,78.6569
15,State,Maharashtra,2380,3604,3511,12.9,1213.9,2.9,19.7515,75.7139
16,State,Manipur,11,74,29,0.1,30.8,0.9,24.6637,93.9063
17,State,Meghalaya,39,39,74,0.3,32.0,2.3,25.467,91.3662
18,State,Mizoram,1,10,6,0.0,11.8,0.5,23.1645,92.9376
19,State,Nagaland,2,0,2,0.0,21.3,0.1,26.1584,94.5624
20,State,Odisha,317,824,843,3.1,435.5,1.9,20.9517,85.0985
21,State,Punjab,102,176,239,0.9,297.0,0.8,31.1471,75.3412
22,State,Rajasthan,941,1304,1104,4.1,765.9,1.4,27.0238,74.2179
23,State,Sikkim,1,1,1,0.0,6.6,0.2,27.533,88.5122
24,State,Tamil Nadu,144,228,295,1.1,754.6,0.4,11.1271,78.6569
25,State,Telangana,593,1209,1205,4.4,370.3,3.3,17.1232,79.2089
26,State,Tripura,8,7,20,0.1,39.6,0.5,23.9408,91.9882
27,State,Uttar Pradesh,2639,4971,6280,23.0,2230.0,2.8,26.8467,80.9462
28,State,Uttarakhand,62,124,171,0.6,110.6,1.5,30.0668,79.0193
29,State,West Bengal,478,568,335,1.2,965.0,0.3,22.9868,87.855
State,State,Total State(s),12187,21593,27004,99.1,12997.9,2.1,,
30,Union Territory,A & N Islands,3,3,7,0.0,4.0,1.8,,
31,Union Territory,Chandigarh,26,32,30,0.1,11.7,2.6,30.7333,76.7794
32,Union Territory,D&N Haveli,1,1,0,0.0,5.3,0.0,,
33,Union Territory,Daman & Diu,0,0,0,0.0,4.0,0.0,,
34,Union Territory,Delhi UT,98,162,189,0.7,195.6,1.0,,
35,Union Territory,Lakshadweep,0,0,4,0.0,0.7,6.0,10.328,72.7846
36,Union Territory,Puducherry,2,5,14,0.1,14.8,0.9,11.9416,79.8083
Union Territory,Union Territory,Total UT(s),130,203,244,0.9,236.0,1.0,,
Total (All India),Total (All India),Total (All India),12317,21796,27248,100.0,13233.8,2.1,,
